10,1,x \cdot 10
9.99,6,(x \cdot 10-\frac{\frac{x}{10}}{10})
9.98,8,(x \cdot 10-\frac{\frac{x}{10} \cdot 2}{10})
9.95,7,(x \cdot 10-\frac{\frac{x}{10}}{2})
9.9,5,(x \cdot 10-\frac{x}{10})
9.8,7,(x \cdot 10-\frac{x}{10} \cdot 2)
9.75,8,(x \cdot 10-\frac{\frac{x}{2}}{2})
9.5,6,(x \cdot 10-\frac{x}{2})
9.1,8,((x \cdot 10+\frac{x}{10})-x)
9,4,(x \cdot 10-x)
8.9,8,(x \cdot 10-(\frac{x}{10}+x))
8,6,x \cdot 2 \cdot 2 \cdot 2
7.5,8,\frac{(\frac{x}{2}+x) \cdot 10}{2}
7.0,8,(x \cdot 2+\frac{x \cdot 10}{2})
6,6,x \cdot 2 \cdot 3
5.5,6,\frac{(x \cdot 10+x)}{2}
5.25,8,\frac{(x \cdot 10+\frac{x}{2})}{2}
5.1,7,(\frac{x \cdot 10}{2}+\frac{x}{10})
5.05,7,\frac{(x \cdot 10+\frac{x}{10})}{2}
5.01,8,(\frac{x \cdot 10}{2}+\frac{\frac{x}{10}}{10})
5.0,3,\frac{x \cdot 10}{2}
4.995,8,\frac{(x \cdot 10-\frac{\frac{x}{10}}{10})}{2}
4.99,8,(\frac{x \cdot 10}{2}-\frac{\frac{x}{10}}{10})
4.95,7,\frac{(x \cdot 10-\frac{x}{10})}{2}
4.9,7,(\frac{x \cdot 10}{2}-\frac{x}{10})
4.75,8,\frac{(x \cdot 10-\frac{x}{2})}{2}
4.5,6,\frac{(x \cdot 10-x)}{2}
4.4,8,(\frac{x}{10}+x) \cdot 2 \cdot 2
4.2,8,(x \cdot 2+\frac{x}{10}) \cdot 2
4.1,8,(x \cdot 2 \cdot 2+\frac{x}{10})
4,4,x \cdot 2 \cdot 2
3.9,8,(x \cdot 2 \cdot 2-\frac{x}{10})
3.8,8,(x \cdot 2-\frac{x}{10}) \cdot 2
3.6,8,(x-\frac{x}{10}) \cdot 2 \cdot 2
3.5,8,(\frac{\frac{x \cdot 10}{2}}{2}+x)
3.3000000000000003,8,(\frac{x}{10}+x) \cdot 3
3.1,8,(x \cdot 3+\frac{x}{10})
3,4,x \cdot 3
2.9,8,(x \cdot 3-\frac{x}{10})
2.75,8,\frac{\frac{(x \cdot 10+x)}{2}}{2}
2.7,8,(x-\frac{x}{10}) \cdot 3
2.5,5,\frac{\frac{x \cdot 10}{2}}{2}
2.4,8,(\frac{x \cdot 2}{10}+x) \cdot 2
2.25,8,\frac{\frac{(x \cdot 10-x)}{2}}{2}
2.2,6,(\frac{x}{10}+x) \cdot 2
2.1,6,(x \cdot 2+\frac{x}{10})
2.05,8,(x \cdot 2+\frac{\frac{x}{10}}{2})
2.02,7,(\frac{\frac{x}{10}}{10}+x) \cdot 2
2.01,7,(x \cdot 2+\frac{\frac{x}{10}}{10})
2,2,x \cdot 2
1.99,7,(x \cdot 2-\frac{\frac{x}{10}}{10})
1.98,8,\frac{(x \cdot 10-\frac{x}{10}) \cdot 2}{10}
1.95,8,(x \cdot 2-\frac{\frac{x}{10}}{2})
1.9,6,(x \cdot 2-\frac{x}{10})
1.8,6,(x-\frac{x}{10}) \cdot 2
1.5,5,(\frac{x}{2}+x)
1.4,8,(\frac{x \cdot 2 \cdot 2}{10}+x)
1.3,8,(\frac{x \cdot 3}{10}+x)
1.25,7,\frac{\frac{\frac{x \cdot 10}{2}}{2}}{2}
1.2,6,(\frac{x \cdot 2}{10}+x)
1.11,8,(\frac{(\frac{x}{10}+x)}{10}+x)
1.1,4,(\frac{x}{10}+x)
1.09,8,(\frac{(x-\frac{x}{10})}{10}+x)
1.05,6,(\frac{\frac{x}{10}}{2}+x)
1.025,8,(\frac{\frac{\frac{x}{10}}{2}}{2}+x)
1.02,7,(\frac{\frac{x \cdot 2}{10}}{10}+x)
1.01,5,(\frac{\frac{x}{10}}{10}+x)
1.005,7,(\frac{\frac{\frac{x}{10}}{10}}{2}+x)
1,0,x
0.999,7,\frac{(x \cdot 10-\frac{\frac{x}{10}}{10})}{10}
0.9949999999999999,8,\frac{(x \cdot 10-\frac{\frac{x}{10}}{2})}{10}
0.99,6,\frac{(x \cdot 10-\frac{x}{10})}{10}
0.9800000000000001,8,\frac{(x \cdot 10-\frac{x}{10} \cdot 2)}{10}
0.95,7,\frac{(x \cdot 10-\frac{x}{2})}{10}
0.9,4,(x-\frac{x}{10})
0.8,7,\frac{x \cdot 2 \cdot 2 \cdot 2}{10}
0.75,7,\frac{(\frac{x}{2}+x)}{2}
0.7,8,(\frac{x \cdot 2}{10}+\frac{x}{2})
0.6,6,(\frac{x}{10}+\frac{x}{2})
0.55,6,\frac{(\frac{x}{10}+x)}{2}
0.525,8,\frac{(\frac{\frac{x}{10}}{2}+x)}{2}
0.51,7,(\frac{\frac{x}{10}}{10}+\frac{x}{2})
0.505,7,\frac{(\frac{\frac{x}{10}}{10}+x)}{2}
0.5,2,\frac{x}{2}
0.495,8,\frac{\frac{(x \cdot 10-\frac{x}{10})}{10}}{2}
0.49000000000000005,8,\frac{(\frac{x \cdot 10}{2}-\frac{x}{10})}{10}
0.45,6,\frac{(x-\frac{x}{10})}{2}
0.4,5,\frac{x \cdot 2 \cdot 2}{10}
0.35,8,(\frac{x}{10}+\frac{\frac{x}{2}}{2})
0.3,5,\frac{x \cdot 3}{10}
0.275,8,\frac{\frac{(\frac{x}{10}+x)}{2}}{2}
0.25,4,\frac{\frac{x}{2}}{2}
0.225,8,\frac{\frac{(x-\frac{x}{10})}{2}}{2}
0.22000000000000003,7,\frac{(\frac{x}{10}+x) \cdot 2}{10}
0.21000000000000002,7,\frac{(x \cdot 2+\frac{x}{10})}{10}
0.202,8,\frac{(\frac{\frac{x}{10}}{10}+x) \cdot 2}{10}
0.20099999999999998,8,\frac{(x \cdot 2+\frac{\frac{x}{10}}{10})}{10}
0.2,3,\frac{x \cdot 2}{10}
0.199,8,\frac{(x \cdot 2-\frac{\frac{x}{10}}{10})}{10}
0.19,7,\frac{(x \cdot 2-\frac{x}{10})}{10}
0.18,7,\frac{(x-\frac{x}{10}) \cdot 2}{10}
0.15,6,\frac{(\frac{x}{2}+x)}{10}
0.125,6,\frac{\frac{\frac{x}{2}}{2}}{2}
0.12,7,\frac{(\frac{x \cdot 2}{10}+x)}{10}
0.11000000000000001,5,\frac{(\frac{x}{10}+x)}{10}
0.10500000000000001,7,\frac{(\frac{\frac{x}{10}}{2}+x)}{10}
0.10200000000000001,8,\frac{(\frac{\frac{x \cdot 2}{10}}{10}+x)}{10}
0.101,6,\frac{(\frac{\frac{x}{10}}{10}+x)}{10}
0.10049999999999999,8,\frac{(\frac{\frac{\frac{x}{10}}{10}}{2}+x)}{10}
0.1,1,\frac{x}{10}
